--------------------
BDMEP - INMET
--------------------
Estação           : XXXXX
Latitude  (graus) : 
Longitude (graus) : 
Altitude  (metros): 
Estação Operante
Inicio de operação: 01/01/1958
Periodo solicitado dos dados: 01/01/1980 a 31/12/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83222;17/08/1980;0000;;27.7;;6.3;88.25;2.566667;
83222;17/08/1980;1200;0.7;;17;;;;
83222;18/08/1980;0000;;28.5;;6.7;82.75;1.1;
83222;18/08/1980;1200;0;;18.1;;;;
83222;19/08/1980;0000;;27.4;;9.7;78;2.4;
83222;19/08/1980;1200;0;;19.1;;;;
83222;20/08/1980;0000;;26;;5.5;86.25;2.566667;
83222;20/08/1980;1200;0;;18.1;;;;
83222;21/08/1980;0000;;27.9;;7.9;81.5;1.4;
83222;21/08/1980;1200;0;;17.4;;;;
83222;22/08/1980;0000;;28.2;;8.5;79.25;3.066667;
83222;22/08/1980;1200;0;;17.9;;;;
83222;23/08/1980;0000;;28.1;;8.8;79.75;3.066667;
83222;23/08/1980;1200;0;;17.1;;;;
83222;24/08/1980;0000;;28.2;;8.6;80.25;1.9;
83222;24/08/1980;1200;0;;17.8;;;;
83222;25/08/1980;0000;;27.5;;9.2;76.5;2.266667;
83222;25/08/1980;1200;0;;16.4;;;;
83222;26/08/1980;0000;;28.6;;8.2;75.25;2.4;
83222;26/08/1980;1200;0;;16.4;;;;
83222;27/08/1980;0000;;28.7;;8.1;76.5;3.066667;
83222;27/08/1980;1200;0;;19.8;;;;
83222;28/08/1980;0000;;27.7;;7.3;81.25;3.066667;
83222;28/08/1980;1200;0;;18.7;;;;
83222;29/08/1980;0000;;20.8;;0;97;5.266667;
83222;29/08/1980;1200;26;;17.8;;;;
83222;30/08/1980;0000;;23.8;;3;91.75;5.166667;
83222;30/08/1980;1200;20.2;;17.4;;;;
83222;31/08/1980;0000;;25.4;;2;89.25;2.4;
83222;31/08/1980;1200;0.9;;18.4;;;;
83222;01/09/1980;0000;;26.5;;7.3;81.5;2.4;
83222;01/09/1980;1200;2.6;;18;;;;
83222;02/09/1980;0000;;27.3;;7.9;81.5;3.066667;
83222;02/09/1980;1200;0;;17.8;;;;
83222;03/09/1980;0000;;27.7;;9.5;79.25;2.4;
83222;03/09/1980;1200;0;;17.6;;;;
83222;04/09/1980;0000;;28.6;;8.3;79.5;1.9;
83222;04/09/1980;1200;0;;18.2;;;;
83222;05/09/1980;0000;;27.9;;8;81.5;3.066667;
83222;05/09/1980;1200;0;;20.3;;;;
83222;06/09/1980;0000;;27.6;;3.2;84.75;3.066667;
83222;06/09/1980;1200;0;;19.4;;;;
83222;07/09/1980;0000;;26;;1.9;89.25;2.4;
83222;07/09/1980;1200;1;;21.2;;;;
83222;08/09/1980;0000;;27.2;;4.8;87.25;3.733333;
83222;08/09/1980;1200;2.4;;19.4;;;;
83222;09/09/1980;0000;;25.4;;4.5;88.75;4.5;
83222;09/09/1980;1200;1.3;;19.6;;;;
83222;10/09/1980;0000;;27.2;19.2;5.4;81;2.566667;
83222;10/09/1980;1200;31.3;;19.2;;;;
83222;11/09/1980;0000;;26.3;;1.9;83;3.066667;
83222;11/09/1980;1200;0.3;;18.8;;;;
83222;12/09/1980;0000;;26.2;;6.4;78.5;3.066667;
83222;12/09/1980;1200;0.3;;18;;;;
83222;13/09/1980;0000;;26.5;;7.9;81.25;3.066667;
83222;13/09/1980;1200;3;;18.3;;;;
83222;14/09/1980;0000;;25.7;;3.8;86.75;3.066667;
83222;14/09/1980;1200;0.3;;18;;;;
83222;15/09/1980;0000;;26.5;;4.7;86.75;2.4;
83222;15/09/1980;1200;1.9;;18.9;;;;
83222;16/09/1980;0000;;28.7;;4.5;83.25;3.066667;
83222;16/09/1980;1200;0.2;;20.9;;;;
83222;17/09/1980;0000;;29.1;;7.2;83.25;3.066667;
83222;17/09/1980;1200;0;;20.3;;;;
83222;18/09/1980;0000;;27.9;;6.8;80.25;3.733333;
83222;18/09/1980;1200;0.5;;21.2;;;;
83222;19/09/1980;0000;;27.4;20.5;3.8;83.25;2.4;
83222;19/09/1980;1200;0.4;;20.5;;;;
83222;20/09/1980;0000;;25.7;;1.2;91.5;2.566667;
83222;20/09/1980;1200;1.1;;18.4;;;;
83222;21/09/1980;0000;;29.9;;8.3;79.25;2.4;
83222;21/09/1980;1200;2;;19.2;;;;
83222;22/09/1980;0000;;31.8;;7.6;76;1.9;
83222;22/09/1980;1200;0;;21.4;;;;
83222;23/09/1980;0000;;24.9;20.6;0;92.25;3.066667;
83222;23/09/1980;1200;0;;20.6;;;;
83222;24/09/1980;0000;;24.2;;0;94.5;2.4;
83222;24/09/1980;1200;26.8;;20.1;;;;
83222;25/09/1980;0000;;26.5;;0.8;88.5;1.1;
83222;25/09/1980;1200;5.5;;20;;;;
83222;26/09/1980;0000;;27.1;;0.7;86;3.833333;
83222;26/09/1980;1200;0;;19.8;;;;
83222;27/09/1980;0000;;23.8;;0.7;88.5;5.266667;
83222;27/09/1980;1200;0.1;;19.2;;;;
83222;28/09/1980;0000;;24;;0.5;84;3.733333;
83222;28/09/1980;1200;1;;19;;;;
83222;29/09/1980;0000;;25.3;;0;82.25;2.4;
83222;29/09/1980;1200;0.6;;19.3;;;;
83222;30/09/1980;0000;;25.8;;1.2;84.5;3.733333;
83222;30/09/1980;1200;0;;19.5;;;;
83222;01/10/1980;0000;;26.5;;8.2;77.5;4.5;
83222;01/10/1980;1200;1.5;;19.7;;;;
83222;02/10/1980;0000;;24.5;;0.1;84.5;3.733333;
83222;02/10/1980;1200;0.7;;19;;;;
83222;03/10/1980;0000;;25.9;19.6;4.1;82.5;2.566667;
83222;03/10/1980;1200;1.4;;19.6;;;;
83222;04/10/1980;0000;;26.4;;5.7;81.75;2.4;
83222;04/10/1980;1200;0.3;;18;;;;
83222;05/10/1980;0000;;27.2;;1.8;85.5;3.066667;
83222;05/10/1980;1200;0;;19.8;;;;
83222;06/10/1980;0000;;28;;5.1;81.25;3.066667;
83222;06/10/1980;1200;0.1;;18.4;;;;
83222;07/10/1980;0000;;28;;6.4;79.25;3.733333;
83222;07/10/1980;1200;0;;20.4;;;;
83222;08/10/1980;0000;;28.7;;6.8;79.75;4.5;
83222;08/10/1980;1200;1.6;;20;;;;
83222;09/10/1980;0000;;29;;6.9;79.75;3.066667;
83222;09/10/1980;1200;0.3;;20;;;;
83222;10/10/1980;0000;;31;;8.8;73.25;2.4;
83222;10/10/1980;1200;0;;19;;;;
83222;11/10/1980;0000;;29.6;;7.5;77.25;3.733333;
83222;11/10/1980;1200;0;;20.4;;;;
83222;12/10/1980;0000;;30.5;;7.4;76.25;2.4;
83222;12/10/1980;1200;0;;18.9;;;;
83222;13/10/1980;0000;;30.5;;6.2;73;3.733333;
83222;13/10/1980;1200;0;;20.4;;;;
83222;14/10/1980;0000;;28.8;;0.5;80.75;3.066667;
83222;14/10/1980;1200;0;;21.8;;;;
83222;15/10/1980;0000;;25.1;;0;90.75;2.566667;
83222;15/10/1980;1200;1.6;;20.3;;;;
83222;16/10/1980;0000;;25.3;;0;89.5;2.566667;
83222;16/10/1980;1200;18.9;;20;;;;
83222;17/10/1980;0000;;27.4;;5;80.75;3.066667;
83222;17/10/1980;1200;4.2;;20.9;;;;
83222;18/10/1980;0000;;27.3;21.7;5.8;85.5;4.5;
83222;18/10/1980;1200;19.3;;21.7;;;;
83222;19/10/1980;0000;;27.7;;5.8;84;3.066667;
83222;19/10/1980;1200;0;;20.1;;;;
83222;20/10/1980;0000;;28.4;;8.5;78.75;3.066667;
83222;20/10/1980;1200;0;;19.1;;;;
83222;21/10/1980;0000;;28.8;;9.9;73.25;3.833333;
83222;21/10/1980;1200;0;;18;;;;
83222;22/10/1980;0000;;28.7;;10.3;75.25;3.733333;
83222;22/10/1980;1200;0;;18;;;;
83222;23/10/1980;0000;;30;;8.8;75;2.4;
83222;23/10/1980;1200;0;;18.7;;;;
83222;24/10/1980;0000;;27.6;;1.5;84.5;3.066667;
83222;24/10/1980;1200;0;;20.4;;;;
83222;25/10/1980;0000;;26.3;;3.7;85.75;3.066667;
83222;25/10/1980;1200;0;;20.2;;;;
83222;26/10/1980;0000;;26.8;;5;75.75;3.066667;
83222;26/10/1980;1200;3.2;;20;;;;
83222;27/10/1980;0000;;28.8;;7.3;79.75;2.566667;
83222;27/10/1980;1200;0.5;;18.3;;;;
83222;28/10/1980;0000;;29.9;;9.8;76.75;2.4;
83222;28/10/1980;1200;0;;17.7;;;;
83222;29/10/1980;0000;;30.9;;9.4;69.75;2.4;
83222;29/10/1980;1200;0;;20.1;;;;
83222;30/10/1980;0000;;30.6;;8.9;71.5;3.066667;
83222;30/10/1980;1200;0;;20.5;;;;
83222;31/10/1980;0000;;32.6;;6.8;69.75;2.4;
83222;31/10/1980;1200;0;;21.9;;;;
83222;01/11/1980;0000;;30.3;;0.3;81;3.066667;
83222;01/11/1980;1200;0;;21.7;;;;
83222;02/11/1980;0000;;25.1;;0.1;89.5;1.9;
83222;02/11/1980;1200;0;;20.3;;;;
83222;03/11/1980;0000;;26.7;;1.3;84.5;2.4;
83222;03/11/1980;1200;0.8;;20.8;;;;
83222;04/11/1980;0000;;24.6;;0;90;3.733333;
83222;04/11/1980;1200;0.2;;20;;;;
83222;05/11/1980;0000;;28.5;;1.1;82.5;1.9;
83222;05/11/1980;1200;2.4;;20.3;;;;
83222;06/11/1980;0000;;26.5;;0.1;85.75;1.9;
83222;06/11/1980;1200;0;;21.1;;;;
83222;07/11/1980;0000;;25.5;;0;92.25;1.6;
83222;07/11/1980;1200;7.1;;20.9;;;;
83222;08/11/1980;0000;;29.6;;6;82.75;3.066667;
83222;08/11/1980;1200;2.2;;21;;;;
83222;09/11/1980;0000;;29.1;22.1;5.1;79.5;2.4;
83222;09/11/1980;1200;0;;22.1;;;;
83222;10/11/1980;0000;;29.5;;6.2;77.5;3.066667;
83222;10/11/1980;1200;0;;20.7;;;;
83222;11/11/1980;0000;;30.5;;9;77;3.066667;
83222;11/11/1980;1200;0;;20.3;;;;
83222;12/11/1980;0000;;31.2;;5.5;76;3.066667;
83222;12/11/1980;1200;0;;20.9;;;;
83222;13/11/1980;0000;;31.4;;6;76.25;3.833333;
83222;13/11/1980;1200;0;;21.8;;;;
83222;14/11/1980;0000;;29.3;;0.6;82.25;2.4;
83222;14/11/1980;1200;0;;21.3;;;;
83222;15/11/1980;0000;;29;;3.2;82.5;3.066667;
83222;15/11/1980;1200;0;;20.4;;;;
83222;16/11/1980;0000;;28.7;;3.6;80.75;3.066667;
83222;16/11/1980;1200;0;;20.6;;;;
83222;17/11/1980;0000;;31;;9.1;76.25;1.9;
83222;17/11/1980;1200;0;;21.1;;;;
83222;18/11/1980;0000;;30.4;;7.4;75.5;2.566667;
83222;18/11/1980;1200;0;;20.3;;;;
83222;19/11/1980;0000;;27.9;;4.6;78;3.066667;
83222;19/11/1980;1200;2;;20.6;;;;
83222;20/11/1980;0000;;30.9;;3.1;73.5;3.066667;
83222;20/11/1980;1200;1.2;;21.3;;;;
83222;21/11/1980;0000;;31.5;;8.5;72;3.066667;
83222;21/11/1980;1200;0;;20.7;;;;
83222;22/11/1980;0000;;29.9;20.8;4.1;83.5;2.266667;
83222;22/11/1980;1200;0;;20.8;;;;
83222;23/11/1980;0000;;30.5;;9;73.5;3.333333;
83222;23/11/1980;1200;2.8;;21.5;;;;
83222;24/11/1980;0000;;31.8;;7.9;72.5;2.4;
83222;24/11/1980;1200;0;;20.4;;;;
83222;25/11/1980;0000;;30;;2.1;84.5;2.4;
83222;25/11/1980;1200;0;;22.1;;;;
83222;26/11/1980;0000;;30;;0.6;77.25;2.4;
83222;26/11/1980;1200;0.3;;22.5;;;;
83222;27/11/1980;0000;;25.8;22;0;92.25;2.4;
83222;27/11/1980;1200;2.5;;22;;;;
83222;28/11/1980;0000;;29.1;;1.6;86;3.066667;
83222;28/11/1980;1200;2.7;;21;;;;
83222;29/11/1980;0000;;28.5;;1.7;83;2.4;
83222;29/11/1980;1200;1.9;;21.4;;;;
83222;30/11/1980;0000;;30.8;;6.8;76.75;3.066667;
83222;30/11/1980;1200;5.5;;22;;;;
83222;01/12/1980;0000;;31.1;;7.2;71.75;2.4;
83222;01/12/1980;1200;0;;21.2;;;;
83222;02/12/1980;0000;;31.2;;5.1;75.75;3.733333;
83222;02/12/1980;1200;0;;21.3;;;;
83222;03/12/1980;0000;;30.8;;1.3;78;2.4;
83222;03/12/1980;1200;0;;23;;;;
83222;04/12/1980;0000;;31.9;;4;69.25;2.566667;
83222;04/12/1980;1200;0;;22.4;;;;
83222;05/12/1980;0000;;32.2;;5.7;72.5;4.4;
83222;05/12/1980;1200;0;;22.1;;;;
83222;06/12/1980;0000;;33;;6.2;73.5;2.4;
83222;06/12/1980;1200;0;;23;;;;
83222;07/12/1980;0000;;32.9;;7.1;70.25;2.4;
83222;07/12/1980;1200;0;;22.7;;;;
83222;08/12/1980;0000;;31.4;;5.2;69.25;3.066667;
83222;08/12/1980;1200;0;;21.9;;;;
83222;09/12/1980;0000;;33.8;;6.7;69;2.4;
83222;09/12/1980;1200;0;;22.4;;;;
83222;10/12/1980;0000;;33;;4.7;76;3.066667;
83222;10/12/1980;1200;0;;22.8;;;;
83222;11/12/1980;0000;;32.3;;2.7;73.5;3.733333;
83222;11/12/1980;1200;0;;22.4;;;;
83222;12/12/1980;0000;;33.2;;6.1;69;3.733333;
83222;12/12/1980;1200;0;;22.8;;;;
83222;13/12/1980;0000;;33.6;;7.4;67.5;2.4;
83222;13/12/1980;1200;0;;23.2;;;;
83222;14/12/1980;0000;;33.2;;7.3;60.75;1.6;
83222;14/12/1980;1200;0;;22.6;;;;
83222;15/12/1980;0000;;33.1;;5.8;71;2.4;
83222;15/12/1980;1200;0;;21.2;;;;
83222;16/12/1980;0000;;32.9;;3;72.25;3.066667;
83222;16/12/1980;1200;0;;23;;;;
83222;17/12/1980;0000;;32.1;;2.8;82.5;2.4;
83222;17/12/1980;1200;0;;23;;;;
83222;18/12/1980;0000;;29.8;;2.5;82;3.066667;
83222;18/12/1980;1200;3.8;;22.9;;;;
83222;19/12/1980;0000;;28.9;;1.5;86.75;2.4;
83222;19/12/1980;1200;8.2;;21.7;;;;
83222;20/12/1980;0000;;28.2;;1.8;85.25;3.733333;
83222;20/12/1980;1200;7.5;;21.2;;;;
83222;21/12/1980;0000;;31;;8.9;77.5;1.5;
83222;21/12/1980;1200;0.4;;20.7;;;;
83222;22/12/1980;0000;;30;;1.4;90;0.6;
83222;22/12/1980;1200;0;;21.8;;;;
83222;23/12/1980;0000;;29.6;;4;83.75;3.066667;
83222;23/12/1980;1200;4.4;;21.5;;;;
83222;24/12/1980;0000;;30.8;;8.5;74;2.4;
83222;24/12/1980;1200;0;;21.6;;;;
83222;25/12/1980;0000;;30.5;;6.3;75;3.833333;
83222;25/12/1980;1200;0;;21.2;;;;
83222;26/12/1980;0000;;30.1;;5.4;81.5;2.566667;
83222;26/12/1980;1200;0;;20.9;;;;
83222;27/12/1980;0000;;30.2;;1.7;82;1.9;
83222;27/12/1980;1200;0;;20.9;;;;
83222;28/12/1980;0000;;29.5;;2.8;91.25;1.9;
83222;28/12/1980;1200;4.3;;22.2;;;;
83222;29/12/1980;0000;;30;;1.9;78;2.4;
83222;29/12/1980;1200;0;;20.8;;;;
83222;30/12/1980;0000;;32;;6.2;67.25;3.066667;
83222;30/12/1980;1200;0;;20.8;;;;
83222;31/12/1980;0000;;32;;5.2;65.25;2.4;
83222;31/12/1980;1200;0;;21.6;;;;
