--------------------
BDMEP - INMET
--------------------
Estação           : XXXXX
Latitude  (graus) : 
Longitude (graus) : 
Altitude  (metros): 
Estação Operante
Inicio de operação: 01/01/1958
Periodo solicitado dos dados: 01/01/1980 a 31/12/2019
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Umidade Relativa Media;Velocidade do Vento Media;
83222;22/02/1980;0000;;30.2;;9.5;74;3.166667;
83222;22/02/1980;1200;0;;22;;;;
83222;23/02/1980;0000;;29.6;;7.1;81.25;2.4;
83222;23/02/1980;1200;0.7;;21.8;;;;
83222;24/02/1980;0000;;27.4;21.7;1.3;85;3.066667;
83222;24/02/1980;1200;0;;21.7;;;;
83222;25/02/1980;0000;;30;;8.6;82.5;3.066667;
83222;25/02/1980;1200;6;;20.6;;;;
83222;26/02/1980;0000;;30.2;;5.5;86;2.4;
83222;26/02/1980;1200;0;;21;;;;
83222;27/02/1980;0000;;30.2;;5.9;82.5;3.066667;
83222;27/02/1980;1200;1.2;30.2;21.2;;;;
83222;28/02/1980;0000;;29;;6.5;83;3.066667;
83222;28/02/1980;1200;28.8;;22.2;;;;
83222;29/02/1980;0000;;27.8;;4.6;88;2.966667;
83222;29/02/1980;1200;3.1;;21.2;;;;
83222;01/03/1980;0000;;28.8;;3.7;88.5;4.5;
83222;01/03/1980;1200;0.8;;21.1;;;;
83222;02/03/1980;0000;;29.2;;8.3;84.25;4.5;
83222;02/03/1980;1200;4.1;;21.3;;;;
83222;03/03/1980;0000;;28.8;;3.9;85.5;1.9;
83222;03/03/1980;1200;0.1;;21.2;;;;
83222;04/03/1980;0000;;28.3;;4.9;84.75;1.9;
83222;04/03/1980;1200;14.5;;20.8;;;;
83222;05/03/1980;0000;;28.7;;5.8;86;1.4;
83222;05/03/1980;1200;5;;20.7;;;;
83222;06/03/1980;0000;;28;;4;93;1.9;
83222;06/03/1980;1200;2.5;;20.8;;;;
83222;07/03/1980;0000;;28.8;;5.4;85.5;3.066667;
83222;07/03/1980;1200;5.3;;21.2;;;;
83222;08/03/1980;0000;;27.6;;4.2;87.75;1.9;
83222;08/03/1980;1200;0.4;;21.3;;;;
83222;09/03/1980;0000;;28.4;;4.5;81.75;1.9;
83222;09/03/1980;1200;2.8;;20.6;;;;
83222;10/03/1980;0000;;27.6;;3.8;85.25;2.4;
83222;10/03/1980;1200;1.8;;20.7;;;;
83222;11/03/1980;0000;;29.7;;8.7;83.25;3.066667;
83222;11/03/1980;1200;1.3;;21;;;;
83222;12/03/1980;0000;;29.2;;7.5;84.5;3.733333;
83222;12/03/1980;1200;2.2;;21.4;;;;
83222;13/03/1980;0000;;29.8;;8.6;78.5;3.066667;
83222;13/03/1980;1200;0;;21.8;;;;
83222;14/03/1980;0000;;30.8;;8.4;80;3.066667;
83222;14/03/1980;1200;0;;20.4;;;;
83222;15/03/1980;0000;;28.7;;1;84.75;3.066667;
83222;15/03/1980;1200;0;;21.6;;;;
83222;16/03/1980;0000;;30.8;;7.9;83.25;3.733333;
83222;16/03/1980;1200;0;;21.3;;;;
83222;17/03/1980;0000;;29;;9.3;78.75;3.066667;
83222;17/03/1980;1200;16.2;;21.8;;;;
83222;18/03/1980;0000;;29.1;;5.7;79.75;2.4;
83222;18/03/1980;1200;0;;21;;;;
83222;19/03/1980;0000;;28.4;;7;83.75;1.9;
83222;19/03/1980;1200;0.6;;20.2;;;;
83222;20/03/1980;0000;;27.5;;1.1;86.25;2.4;
83222;20/03/1980;1200;4.8;;21;;;;
83222;21/03/1980;0000;;28.1;;3.3;81.25;2.4;
83222;21/03/1980;1200;0;;21;;;;
83222;22/03/1980;0000;;28.8;;6.1;83.25;1.9;
83222;22/03/1980;1200;0;;21.2;;;;
83222;23/03/1980;0000;;27.9;;3.2;91.5;1.9;
83222;23/03/1980;1200;0;;20.2;;;;
83222;24/03/1980;0000;;29.6;;8.9;79.75;3.066667;
83222;24/03/1980;1200;1.4;;20.8;;;;
83222;25/03/1980;0000;;29.5;;9.7;79.25;3.066667;
83222;25/03/1980;1200;1.1;;21;;;;
83222;26/03/1980;0000;;29.6;;8.9;79.25;3.066667;
83222;26/03/1980;1200;0.9;;21.4;;;;
83222;27/03/1980;0000;;30.3;;9.3;78.5;3.066667;
83222;27/03/1980;1200;0;;21.2;;;;
83222;28/03/1980;0000;;30.2;;8.2;79.25;3.066667;
83222;28/03/1980;1200;0;;20;;;;
83222;29/03/1980;0000;;29.7;;5.3;77.25;3.066667;
83222;29/03/1980;1200;0;;19.8;;;;
83222;30/03/1980;0000;;30.4;;6.5;77.75;2.4;
83222;30/03/1980;1200;0;;19.5;;;;
83222;31/03/1980;0000;;31.1;;9.2;70.25;1.9;
83222;31/03/1980;1200;0;;20.8;;;;
83222;01/04/1980;0000;;30.8;;9.5;73;2.4;
83222;01/04/1980;1200;0;;19.8;;;;
83222;02/04/1980;0000;;31.4;;9.1;78.75;3.066667;
83222;02/04/1980;1200;0;;20.3;;;;
83222;03/04/1980;0000;;30.8;;8.3;78.25;2.4;
83222;03/04/1980;1200;0;;22;;;;
83222;04/04/1980;0000;;30.4;;9.4;73.5;2.4;
83222;04/04/1980;1200;0;;20.7;;;;
83222;05/04/1980;0000;;28.7;;5.2;79.25;2.4;
83222;05/04/1980;1200;0.6;;21.3;;;;
83222;06/04/1980;0000;;30.9;;7.1;76;1.6;
83222;06/04/1980;1200;0;;19.7;;;;
83222;07/04/1980;0000;;31.4;;4.9;78.5;2.4;
83222;07/04/1980;1200;0;;21.5;;;;
83222;08/04/1980;0000;;32.1;;8.9;78.75;1.6;
83222;08/04/1980;1200;0;;22.5;;;;
83222;09/04/1980;0000;;31.4;;8.4;75;2.4;
83222;09/04/1980;1200;0;;23;;;;
83222;10/04/1980;0000;;31;;6.4;75.75;1.9;
83222;10/04/1980;1200;0;;22.2;;;;
83222;11/04/1980;0000;;31.3;;8.9;77;2.4;
83222;11/04/1980;1200;0;;20.9;;;;
83222;12/04/1980;0000;;29.7;;4.3;83.75;1.9;
83222;12/04/1980;1200;0;;23.3;;;;
83222;13/04/1980;0000;;30.9;;8.4;74.5;1.4;
83222;13/04/1980;1200;0;;20.4;;;;
83222;14/04/1980;0000;;31.6;;9.4;78.25;1.9;
83222;14/04/1980;1200;0;;19.7;;;;
83222;15/04/1980;0000;;32.1;;7.6;74.5;1.9;
83222;15/04/1980;1200;0;;21.3;;;;
83222;16/04/1980;0000;;30.6;;8.5;79.25;3.066667;
83222;16/04/1980;1200;0;;21.8;;;;
83222;17/04/1980;0000;;29.9;;7.6;77.25;3.066667;
83222;17/04/1980;1200;0;;21;;;;
83222;18/04/1980;0000;;30.2;;8.8;77.25;3.333333;
83222;18/04/1980;1200;0.7;;21.3;;;;
83222;19/04/1980;0000;;28.4;;7.7;81.5;3.066667;
83222;19/04/1980;1200;4.3;;20.7;;;;
83222;20/04/1980;0000;;27.9;;7;82;3.066667;
83222;20/04/1980;1200;4.1;;21;;;;
83222;21/04/1980;0000;;28.8;;5.5;85.25;3.733333;
83222;21/04/1980;1200;6.2;;20.2;;;;
83222;22/04/1980;0000;;29.2;;8.8;79.5;3.833333;
83222;22/04/1980;1200;3.1;;20.9;;;;
83222;23/04/1980;0000;;27.5;;3.1;87.5;3.733333;
83222;23/04/1980;1200;0.5;;21.2;;;;
83222;24/04/1980;0000;;24.8;20.8;0;93.5;4.4;
83222;24/04/1980;1200;7;;20.8;;;;
83222;25/04/1980;0000;;26.6;;3.9;89.25;3.733333;
83222;25/04/1980;1200;15.8;;19.8;;;;
83222;26/04/1980;0000;;26.4;;5.6;89.5;1.9;
83222;26/04/1980;1200;0;;19.4;;;;
83222;27/04/1980;0000;;24.7;;0.5;85.75;2.4;
83222;27/04/1980;1200;3;;20.1;;;;
83222;28/04/1980;0000;;26.2;;0.7;90;1.9;
83222;28/04/1980;1200;0.3;;20;;;;
83222;29/04/1980;0000;;25.7;;0.5;93.75;1.9;
83222;29/04/1980;1200;2.3;;20.9;;;;
83222;30/04/1980;0000;;27.5;;3.3;93;1.4;
83222;30/04/1980;1200;5.7;;21.1;;;;
83222;01/05/1980;0000;;28.2;;5.4;85;1.9;
83222;01/05/1980;1200;1.5;;20.3;;;;
83222;02/05/1980;0000;;29.9;;7.5;82.5;1.9;
83222;02/05/1980;1200;0;;21;;;;
83222;03/05/1980;0000;;29.3;;7.7;80;1.9;
83222;03/05/1980;1200;0;;19.2;;;;
83222;04/05/1980;0000;;30.1;;7.2;83.5;2.4;
83222;04/05/1980;1200;0;;22;;;;
83222;05/05/1980;0000;;29.7;;5.7;82.75;3.066667;
83222;05/05/1980;1200;0;;21.2;;;;
83222;06/05/1980;0000;;28.5;;7.9;84.5;3.833333;
83222;06/05/1980;1200;3.2;;21.9;;;;
83222;07/05/1980;0000;;28.6;;8.3;82.75;5.266667;
83222;07/05/1980;1200;0;;19.4;;;;
83222;08/05/1980;0000;;28.6;;7.4;84.25;3.066667;
83222;08/05/1980;1200;3.8;;21;;;;
83222;09/05/1980;0000;;27.6;;5.3;90;3.066667;
83222;09/05/1980;1200;2.8;;20.8;;;;
83222;10/05/1980;0000;;27.6;;4.2;89.5;3.066667;
83222;10/05/1980;1200;2.1;;20.4;;;;
83222;11/05/1980;0000;;28.4;;7.1;82;3.066667;
83222;11/05/1980;1200;0.4;;20.8;;;;
83222;12/05/1980;0000;;27.8;;5.8;82.75;2.4;
83222;12/05/1980;1200;0.3;;20.3;;;;
83222;13/05/1980;0000;;27.7;;8.4;84.5;3.066667;
83222;13/05/1980;1200;1.4;;20;;;;
83222;14/05/1980;0000;;26.5;;2.8;88.75;2.4;
83222;14/05/1980;1200;8.3;;19.5;;;;
83222;15/05/1980;0000;;27.8;;5.5;88.5;1.9;
83222;15/05/1980;1200;8.2;;20;;;;
